"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","nextEarningsDate","peRatio","beta","ttmDividendRate","nextDividendDate","dividendYield","exDividendDate"
"11","GEF.B",-0.20781,63.8,36.7,2252091560,13000,44.86,42.21,4057923.072,20417.5,12289.6,3.7036,"Greif, Inc.",22008000,3.04,-0.17914,-0.254154,-0.20781,0.071412,0.047833,0.077847,0.211948,0.10884,0.064811,"2019-12-09",12.6,1.20142756717478,1.76,NA,0.037719674239177,NA
"12","GFF",0.13022,20.9,9.65,962696570,7200,16.12,17.33,39644050.677,162281.7,167763.63,-0.1765,"Griffon Corp.",46801000,0.431925,0.489267,-0.269737,0.13022,0.87,0.139612,0.234694,0.137092,0.092986,0.145961,"2019-11-15",-116.54,0.981215959198164,0.2875,NA,0.0139766650461838,"2019-08-21"
"13","GPI",0.155514,89.85,48.69,1613077060,14570,69.7,80.91,17390961.518,219541.9,196988.43,8.0965,"Group 1 Automotive, Inc.",18571000,2.778146,0.089186,0.243306,0.155514,0.600811,0.416504,0.123093,0.117314,0.060044,0.074734,"2019-10-24",10.73,0.87479680163859,1.04,NA,0.011973290352291,"2019-08-30"
"14","GRUB",-0.545548,149.34,55.61,6065839200,2722,71.92,67.36,91046693.391,1741958.7,2721701.17,0.2841,"Grubhub, Inc.",91353000,1.091176,1.316716,0.569536,-0.545548,-0.120064,-0.10088,-0.053592,0.090133,-0.047482,0.058167,"2019-10-21",233.72,1.56828360423591,NA,NA,NA,NA
"15","PAC",-0.092084,111.27,64.45,NA,1337,93.91,97.38,47680088.445,65096.3,59155.6,4.9228,"Grupo Aeroportuario del Pacífico SAB de CV",NA,2.498938,0.54863,-0.032391,-0.092084,0.137605,0.106601,-0.088472,0.088452,-0.029255,0.013694,"2019-10-21",19.55,0.575579777593493,NA,"0000-00-00",NA,"0000-00-00"
"16","ASR",-0.2426,208.99,127.95,NA,1552,159.25,150.98,27705000,83878,89273.7,9.2267,"Grupo Aeroportuario del Sureste SA de CV",NA,13.016323,0.278605,-0.159973,-0.2426,-0.016751,-0.020571,-0.08849,0.100623,0.03807,0.02691,"2019-10-18",16.67,0.67123808046055,NA,NA,NA,NA
"17","AVAL",-0.031726,8.51,5.58,NA,91191,7.32,7.59,NA,91851,76438.5,0.9222,"Grupo Aval Acciones y Valores SA",NA,-0.427835,-0.427835,-0.033582,-0.031726,0.257002,0,0.028302,0.077684,0.032476,0.024161,"2019-12-02",8.27,0.758822574265759,0.327131,NA,0.0428743119266055,NA
"18","SUPV",-0.579251,11.62,2.25,NA,NA,7.12,5.54,NA,2157945,3079613.9,1.145,"Grupo Supervielle SA",NA,-0.498679,-0.498679,-0.652908,-0.579251,-0.656066,-0.598349,-0.607527,-0.128358,-0.611185,-0.081761,"2019-11-07",2.55,1.68111187387575,NA,NA,NA,"2017-05-18"
"19","TV",-0.471953,19.07,7.42,NA,39165,10.53,8.82,577452248.1,1428471.5,1666544.87,0.2527,"Grupo Televisa SAB",NA,0.524405,-0.705758,-0.603574,-0.471953,-0.229134,-0.11,0.095078,0.266494,0.024059,0.066449,"2019-10-24",38.74,0.813401066015746,NA,NA,NA,NA
"20","GSAH",0.044898,10.29,9.7,883200000,1,10.03,10.2,67665678,79106.9,38181.2,0.117,"GS Acquisition Holdings Corp.",6.9e+07,0.025381,0.025381,0.025381,0.044898,0.050256,0.029146,0.013861,-0.000976,-0.000976,0.004907,NA,87.52,0.0135206263507376,NA,NA,NA,NA
"21","GSX",0.282443,17.53,8.53,NA,1315,11.68,12.46,NA,1162804.4,1604968.1,0.0316,"GSX Techedu, Inc.",NA,NA,NA,NA,0.282443,0.282443,0.282443,0.414737,0.002985,0.050821,0.078652,"2019-11-27",425.32,-0.278516261224462,NA,NA,NA,NA
"22","GTT",-0.772992,47.2,4.9,549529500,3200,25.08,11.25,45137845.872,763034.6,1335302.53,-2.4692,"GTT Communications, Inc.",56362000,14.338182,2.873278,0.462045,-0.772992,-0.579741,-0.714411,-0.571993,0.144366,-0.170918,0.062092,"2019-11-07",-3.95,1.56878918803318,NA,NA,NA,NA
"23","GSH",-0.208452,23.24,15.01,NA,42738,18.58,16.32,NA,23613.2,23579.63,0.9308,"Guangshen Railway Co., Ltd.",NA,1.007892,-0.060654,-0.332709,-0.208452,-0.109033,-0.183059,-0.034921,0.067222,-6e-04,0.029648,"2019-10-23",17.91,0.524180877840397,NA,NA,NA,NA
"24","GES",-0.15123,24.25,13.34,1244659640,15700,18.65,16.32,41338578.152,2139783,2320283,0.2032,"Guess?, Inc.",65612000,9.853868,-0.304444,0.671668,-0.15123,-0.104344,-0.164685,0.333099,0.341584,0.153893,0.046909,"2019-11-25",93.36,1.28703645933047,0.7875,NA,0.0415129151291513,"2019-09-10"
"25","GGM",-0.107782,22.74,17,NA,NA,20.25,20.29,NA,29021.1,28562.9,NA,"Guggenheim Credit Allocation Fund",0,-0.1722,-0.134991,-0.132645,-0.107782,0.076052,-0.024927,-0.041326,-0.0025,-0.025879,-0.012376,NA,NA,0.171315945710412,NA,NA,NA,NA
"26","GPM",-0.107062,8.9,6.15,NA,NA,7.82,7.95,NA,123172.6,127528.03,NA,"Guggenheim Enhanced Equity Income Fund",0,-0.676553,-0.115132,-0.027711,-0.107062,0.141194,0.007712,-0.007595,0.020833,-0.015075,-0.029703,NA,NA,0.946432916699514,NA,NA,NA,NA
"27","GOF",-0.110908,22.1,16.72,NA,NA,19.84,20.27,NA,184812.1,179171.47,NA,"Guggenheim Strategic Opportunities Fund",0,0.0065,-0.071923,-0.050472,-0.110908,0.032326,-0.010665,-0.041339,-0.028913,-0.055744,-0.006122,NA,NA,0.425736563184087,NA,NA,NA,NA
"28","GBAB",0.082797,25.58,19.91,410019720,NA,23.1,24.46,17415857.586,73127.5,63383.2,1.5282,"Guggenheim Taxable Municipal Managed Duration Trust",17418000,0.154,0.08103,0.024412,0.082797,0.072437,0.060838,-0.004651,-0.037612,-0.026065,-0.059153,NA,15.4,0.0631111531331856,1.50876,NA,0.0640934579439252,NA
"29","GWRE",-0.01314,113.34,73.82,8664102600,NA,95.4,99.45,81439291.88,1251062,837579,0.2527,"Guidewire Software, Inc.",81814000,5.11215,1.823529,0.705902,-0.01314,0.345104,0.126356,0.082711,0.127195,0.042425,0.0169,"2019-12-03",419.07,1.22130073221438,NA,NA,NA,NA
"30","HRB",-0.033587,29.62,22.96,4851402400,86100,26.17,26.92,200200335.92,4311759,3329170.47,2.1098,"H&R Block, Inc.",200720000,0.25881,-0.026705,0.067273,-0.033587,-0.055121,-0.003299,-0.157546,-0.110743,-0.120131,-0.00124,"2019-12-09",11.46,0.640256832571641,1.01,NA,0.0417873396772859,"2019-09-12"
"31","FUL",-0.130833,58.97,39.22,2513312480,6500,46.09,45.29,49884466.436,265149.2,262889.1,2.5264,"H.B. Fuller Co.",50918000,3.187234,0.036226,-0.064105,-0.130833,0.142857,0.00366,0.131332,0.151119,0.0782,0.089144,"2019-09-25",19.54,1.14821772572932,0.625,NA,0.012662074554295,"2019-07-29"
"32","HAE",0.094452,140.36,80.23,6359450200,3216,104,127.33,50248033.63,384568,377393.33,0.9607,"Haemonetics Corp.",50770000,7.276896,1.936796,1.185841,0.094452,0.287359,0.443919,0.117296,-0.070772,0.030268,0.034523,"2019-11-11",130.38,1.12915837392263,NA,NA,NA,NA
"33","HAL",-0.475278,42.57,16.97,17755141640,60000,26.24,20.68,873298072.476,13077283.4,13622819.93,1.5205,"Halliburton Co.",875932000,1.628925,-0.573216,-0.390873,-0.475278,-0.257509,-0.288022,-0.051918,0.105837,-0.034762,0.01604,"2019-10-21",13.33,1.22936215712985,0.72,NA,0.0355204736063148,"2019-09-03"
"34","HBB",-0.322321,29.35,12.6,148768000,1495,20,15.18,6492300.606,63575,63028.5,1.487,"Hamilton Beach Brands Holding Co.",9298000,-0.419677,-0.419677,-0.419677,-0.322321,-0.334719,-0.232246,-0.142551,0.167883,0.1994,0.047806,"2019-10-30",10.76,0.859788936938238,0.345,NA,0.0215625,"2019-08-29"
"35","HBI",-0.105144,19.38,11.57,5723225690,68000,16.14,15.17,357027327.93,6462824.2,6154162.1,1.5503,"Hanesbrands, Inc.",361543000,2.372809,-0.12477,-0.177069,-0.105144,0.249408,-0.108169,-0.045811,0.136396,0.044195,0.051129,"2019-10-21",10.21,1.0699895616724,0.6,NA,0.0379027163613392,"2019-08-12"
"36","HNGR",-0.018876,23.75,15.5,814324490,4600,19.21,18.3,35652454.159,338484.4,296089.4,0.3207,"Hanger, Inc.",37303000,0.859729,-0.327112,0.586873,-0.018876,0.15625,0.120637,0.156863,0.110376,0.28563,0.099748,"2019-11-11",68.07,0.844706494472679,NA,NA,NA,NA
"37","HASI",0.307331,28.67,18.82,1827467980,49,25.35,27.67,62484230.757,288403.9,280014.7,0.8759,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",65689000,276599,1.084401,0.268807,0.307331,0.406471,0.101346,0.030752,0.04,0.011636,0.025811,"2019-11-01",31.76,0.542982710062053,1.33,"0000-00-00",0.0478073328540618,"2019-07-03"
"38","HOG",-0.1719,46.22,30.17,5745795120,5300,35.82,34.01,156324340.068,1675169.1,1526589.67,2.7242,"Harley-Davidson, Inc.",156732000,-0.042342,-0.494202,-0.340295,-0.1719,0.075704,0.006037,0.058314,0.15102,0.047129,0.065698,"2019-10-24",13.46,1.17741059400126,1.49,"2019-09-16",0.0406437534097109,"2019-09-16"
"39","HMY",0.689266,3.85,1.46,NA,NA,2.13,2.93,540588094.605009,12243157.9,13539072.7,-0.3503,"Harmony Gold Mining Co. Ltd.",NA,-0.863447,-0.467532,-0.240741,0.689266,0.651934,0.541237,0.52551,0.006734,0.12406,-0.096677,NA,-8.54,-0.86649103560456,NA,NA,NA,NA
"40","HSC",-0.302538,30.04,16.33,1654550190,9900,22.52,21.12,79318782.881,831574.3,1252122.17,1.1984,"Harsco Corp.",80279000,0.469203,-0.084773,0.488889,-0.302538,0.018281,-0.052414,-0.224605,0.226056,-0.023223,0.157865,"2019-11-07",17.2,1.66933528503523,NA,NA,NA,"2016-01-13"
"41","HHS",-0.520422,8.03,2.2,22859200,2816,3.21,3.14,3611552.64,12238.6,11889.03,-4.0362,"Harte-Hanks, Inc.",6280000,-0.984136,-0.961935,-0.777206,-0.520422,0.217391,-0.066667,0.379519,0.170418,0.295374,-0.037037,"2019-10-21",-0.9,0.897700244910718,NA,NA,NA,"2016-02-26"
"42","HGH",0.017606,29.28,27.06,10449690900,NA,28.32,28.82,NA,65568.4,53839.47,NA,"The Hartford Financial Services Group, Inc.",0,0.066157,-0.075903,-0.112949,0.017606,0.052823,0.004519,0.012969,-0.00619,0.003821,-0.008576,NA,NA,0.0813083920911433,NA,NA,NA,NA
"43","HIG",0.210273,60.77,40.54,21810565920,18500,51.42,58.2,360120935.922,1894060.7,1835122.3,4.5308,"The Hartford Financial Services Group, Inc.",361581000,0.45246,0.487404,0.064412,0.210273,0.389222,0.235812,0.097725,0.053624,0.049408,0.000332,"2019-10-30",13.31,0.714925647468205,1.2,NA,0.019893899204244,"2019-08-30"
"44","HVT",-0.087859,25.09,15.81,407084640,3418,19.98,18.68,16567017.672,133450.4,134594.13,1.3389,"Haverty Furniture Cos., Inc.",18168000,0.837143,-0.255212,-0.246484,-0.087859,0.082242,-0.115961,0.241587,0.088514,0.155481,0.054082,"2019-11-04",15.43,0.780202638390025,0.72,NA,0.0348499515972894,"2019-08-23"
"45","HVT.A",-0.063964,24.56,16.35,409449120,3418,20.03,18.57,688226.304,177.3,93.27,1.295,"Haverty Furniture Cos., Inc.",1536000,0.84717,-0.252386,-0.232157,-0.063964,0.129115,-0.133654,0.270948,0.090241,0.129348,0.075013,"2019-11-04",16.05,0.100101990359693,0.72,NA,0.0346487006737247,NA
"46","HE",0.245976,45.6,34.77,4807888760,3898,40.9,44.41,107846764.045,389543.1,362137.27,1.8703,"Hawaiian Electric Industries, Inc.",108973000,1.059274,0.748008,0.258756,0.245976,0.237588,0.095877,0.01542,-0.003163,-0.00541,0.006157,"2019-11-07",23.59,0.235719339737412,1.26,NA,0.028558476881233,"2019-08-21"
"47","HCHC",-0.61194,6.25,1.9,107291340,4119,2.62,2.1,41736422.962,229144.6,172931.73,2.9152,"HC2 Holdings, Inc.",45851000,-0.3925,-0.360526,-0.554945,-0.61194,-0.123596,-0.10687,-0.033058,0.093458,0.088372,0.158416,"2019-11-06",0.8,0.782150087848998,NA,NA,NA,NA
"48","HCA",-0.034124,147.42,110.31,44010675810,262000,130.49,130.23,266569256.961,1540792.3,1483921.93,10.6048,"HCA Healthcare, Inc.",340983000,3.151515,1.498642,0.535655,-0.034124,0.060036,-0.02049,0.019269,0.047051,0.01518,0.012234,"2019-11-01",12.17,0.943515626237721,1.5,NA,0.0116216006818006,"2019-08-30"
"49","HCI",0.056321,59.32,36.72,351331000,465,43.95,40.84,6317463.08,95831.1,81573.13,1.8748,"HCI Group, Inc.",8180000,0.810404,0.042069,-0.071035,0.056321,-0.143569,0.004678,0.039952,0.04654,0.06128,0.01898,"2019-11-06",22.91,0.505709508242362,1.55,NA,0.0360884749708964,"2019-08-15"
"50","HCP",0.28289,36.07,24.47,16570051400,201,31.26,33.54,490062462.37,3239453.5,2884530.17,2.0624,"HCP, Inc.",491110000,0.800773,-0.286858,0.004978,0.28289,0.250556,0.077955,0.050436,0.007465,0.025844,-0.04175,"2019-10-30",16.36,0.312230349629056,1.48,NA,0.043864848844102,"2019-08-02"
"51","HDB",0.082053,131.78,85.43,NA,98061,111.5,113.4,911771450.293333,1238687.5,1066208,NA,"HDFC Bank Ltd.",NA,36.764668,1.868249,0.435167,0.082053,0.01254,-0.049615,-0.181839,-0.037855,-0.077754,0.006134,"2019-10-21",NA,0.44765958758323,NA,NA,NA,NA
"52","HR",0.088599,33.89,26.98,4208217200,277,31.64,32.68,126848151.475,863146.5,761385.4,0.2421,"Healthcare Realty Trust, Inc.",129245000,0.23574,0.22839,-0.039678,0.088599,0.175876,0.02069,-0.000614,0.001846,0.012753,-0.023395,"2019-11-04",134.49,0.403112911950523,1.2,NA,0.0368550368550369,"2019-08-14"
"53","HTA",0.010969,29.39,24.21,11454047809,282,27.81,27.77,204017495.324,1094170.4,1171169.4,1.0527,"Healthcare Trust of America, Inc.",205159000,0.394657,0.143388,-0.072099,0.010969,0.118075,-0.04259,-0.041594,-0.002165,0.019167,-0.030845,"2019-10-22",26.27,0.34652732315155,1.24,"2019-10-02",0.0448462929475588,"2019-10-02"
"54","HL",-0.360424,3.12,1.21,887354310,1714,2.09,1.78,474768383.169,10628529.7,10095505.43,-0.2503,"Hecla Mining Co.",490251000,-0.37963,-0.338816,-0.629834,-0.360424,-0.267206,-0.223176,0.14557,0.256944,-0.042328,0.034286,"2019-11-06",-7.23,0.292061915312914,0.01,NA,0.00552486187845304,"2019-08-22"
"55","HEI",0.342164,147.93,71.47,16854982920,5400,107.53,138.68,40283609.388,834574.5,652462.27,2.3225,"HEICO Corp.",53812000,62.207491,2.799024,1.263216,0.342164,0.654464,0.363281,-0.004201,-0.093376,-0.079088,-0.05937,"2019-12-16",54.1,0.951407565851384,0.13,NA,0.0010347023241006,"2019-06-28"
"56","HEI.A",0.272161,113.69,57.84,13149677060,5400,87.23,107.27,73071665.979,494859.3,387022.77,2.3225,"HEICO Corp.",80341000,69.325517,3.419614,1.282903,0.272161,0.622579,0.221585,-0.026324,-0.082639,-0.071429,-0.041182,"2019-12-16",42.2,0.843994379500418,0.13,NA,0.0013262599469496,NA
"57","HLX",-0.014428,10.89,5.05,1321050960,1546,7.52,7.92,140662173.84,861993.1,780520.8,0.2093,"Helix Energy Solutions Group, Inc.",148767000,-0.152709,-0.671616,0.318569,-0.014428,0.555166,0.1341,0.218107,0.252468,0.103106,0.055886,"2019-10-28",42.43,1.66696519350219,NA,NA,NA,NA
"58","HP",-0.365181,73.74,36.06,4537133640,8780,52.12,44.1,106288538.538,1643482,1620108.07,-0.6831,"Helmerich & Payne, Inc.",109434000,3.510789,-0.475839,-0.038146,-0.365181,-0.137149,-0.249864,-0.143388,0.052017,-0.101236,-0.006232,"2019-11-18",-60.69,1.19446393520042,2.84,"2019-11-08",0.0684997588036662,"2019-11-08"
"59","HLF",-0.247033,61.77,33.62,6334140600,8900,49.32,38.64,133195119.21,1745769.1,1776250.1,2.1389,"Herbalife Nutrition Ltd.",151245000,12.641304,0.622495,0.393864,-0.247033,-0.294118,-0.264747,-0.050986,0.161398,0.102105,0.067823,"2019-10-29",19.58,0.477014801750338,NA,NA,NA,NA
"60","HRI",-0.054054,52.94,24.16,1406202000,4900,39.34,42.45,28314106.854,236826.5,219195.53,2.8932,"Herc Holdings, Inc.",28698000,0.344932,0.344932,-0.00314,-0.054054,0.777294,0.218602,0.223471,0.248408,0.147272,0.126178,"2019-11-06",16.94,2.06433886991124,NA,NA,NA,NA
"61","HCXY",0.098129,27.06,21.13,2754563000,NA,25,26.08,NA,4200.5,5602.7,NA,"Hercules Capital, Inc.",0,0.05738,0.05738,0.05738,0.098129,0.124308,0.067934,0.038129,0.023643,0.037721,-0.024021,NA,NA,-0.0456303915770563,NA,NA,NA,NA
"62","HCXZ",0.018913,26.43,20.85,2640876000,NA,24.73,25.36,NA,5559.5,3350,NA,"Hercules Capital, Inc.",0,0.004029,0.004029,0.004029,0.018913,0.059414,0.038982,0.0128,-0.006533,-0.009002,-0.001183,NA,NA,0.0897396606244314,NA,NA,NA,NA
"63","HTGC",0.007599,14.17,10.56,1383018000,69,12.74,13.01,101646712.3,383912.6,506167.7,1.3204,"Hercules Capital, Inc.",104300000,0.060957,-0.039804,0.077586,0.007599,0.180766,0.070218,0.031104,0.047393,-0.004505,-0.005251,"2019-11-01",10.04,0.453539637168794,1.25,NA,0.0942684766214178,"2019-08-09"
"64","HRTG",-0.03404,16.95,12.85,449019200,447,14.71,14.4,25512530.54,213085.2,168260.6,0.643,"Heritage Insurance Holdings, Inc.",29855000,0.188696,0.188696,0.083201,-0.03404,0.00602,0.021045,-0.030303,0.067424,0.081237,0.064402,"2019-11-04",23.39,0.571333037434505,0.24,"2019-09-13",0.0159574468085106,"2019-09-13"
"65","PSV",-0.852,10.5,1.34,29839760,7,3.29,2.09,6698078.506,14897.9,17465.93,-28.7893,"Hermitage Offshore Services Ltd.",20162000,NA,NA,NA,-0.852,-0.657803,-0.467626,-0.447761,-0.18232,-0.345133,0.042254,"2019-11-13",-0.05,0.948597638333373,NA,NA,NA,NA
"66","HT",-0.348334,23.29,13.38,591406200,54,17.22,15.24,35550934.65,419175.9,397333.23,-0.537,"Hersha Hospitality Trust",39270000,-0.293834,-0.191752,0.032591,-0.348334,-0.115678,-0.156775,-0.108876,0.02171,0.002663,0.040055,"2019-11-01",-28.04,0.894800105775304,1.12,NA,0.0743691899070385,"2019-06-27"
"67","HSY",0.402001,162.2,99.15,31137118899,16420,125.43,151.4,148235667.36,1443335.6,1189463.6,5.9647,"The Hershey Co.",148965000,2.936326,0.275955,0.155514,0.402001,0.409048,0.345987,0.074104,-0.025259,-0.023273,-0.048543,"2019-10-24",24.91,0.247749226784457,2.888,NA,0.0194386484485428,"2019-08-22"
"68","HTZ",-0.084808,19.2,11.24,2131020000,38000,14.59,14.04,141013003.032,3162430.7,4219457.3,-0.7189,"Hertz Global Holdings, Inc.",142068000,-0.749109,-0.862817,0.322602,-0.084841,0.220862,0.033834,-0.024422,0.190476,0.021798,0.079137,"2019-11-11",-20.87,1.81414495573901,NA,NA,NA,NA
"69","HES",-0.042266,74.81,35.59,19249288820,1708,58.24,61.73,269720231.116,3360149.2,2991974.27,-0.16,"Hess Corp.",304481000,3.12952,-0.293714,0.296923,-0.042266,0.496686,0.090752,0.104279,0.065027,0.0205,-0.013113,"2019-10-30",-395.13,1.60151519570525,1,"2019-09-13",0.0158177791838026,"2019-09-13"
"70","HESM",-0.123545,23.8,16.17,1069550725,170,20.3,19.43,15928161.705,103383.5,118012.23,1.2473,"Hess Midstream Partners LP",27345000,-0.180078,-0.180078,-0.172645,-0.123545,0.111237,-0.135541,0.025131,0.075824,0.006684,-0.007603,"2019-10-24",15.7,0.805326004948735,1.4561,NA,0.0743667007150153,"2019-08-02"
"71","HPE",-0.075995,17.27,12.08,20001792000,60000,14.84,14.04,1302931353.6,9068896.1,10269525.2,-0.1037,"Hewlett-Packard Enterprise Co.",1305600000,-0.053776,-0.053776,-0.17099,-0.075995,0.138187,-0.021711,0.082686,0.191291,0.154484,0.024749,"2019-11-11",-147.73,1.33176553663995,0.45,NA,0.0293733681462141,"2019-09-10"
"72","HXL",0.216059,87,53.5,6958087740,6626,71.71,81.53,84291217.602,442141.1,448785.43,3.4884,"Hexcel Corp.",85083000,22.826667,0.701095,0.416568,0.216059,0.415859,0.19022,0.064844,0.037554,0.025197,-0.013867,"2019-10-28",23.44,0.963309954040436,0.6,NA,0.00733675715333822,"2019-08-01"
"73","HEXO",-0.283051,8.4,3.02,1086128640,NA,5.4,4.47,240855316.736,2618102.2,3066463.67,-0.1331,"HEXO Corp.",256768000,4.192372,4.192372,4.960061,-0.283051,0.101304,-0.306557,-0.245989,-0.078431,-0.036446,-0.038636,"2019-10-24",-31.78,1.25860219597383,NA,NA,NA,NA
"74","HCR",-0.8336,12.9,1.27,209445600,NA,3.29,1.87,91603147.755,1124106.8,829223.53,-1.0247,"Hi-Crush, Inc.",100695000,NA,NA,NA,-0.8336,-0.527273,-0.515152,-0.262411,0.124324,0.083333,0.283951,"2019-10-30",-2.03,1.13900944162472,NA,NA,NA,NA
"75","PCF",-0.110638,9.48,8.1,NA,NA,8.72,8.32,NA,19444.6,17439.07,NA,"High Income Securities Fund",0,0.255714,0.017789,-0.000907,-0.110638,-0.064877,-0.083333,0.015796,0.014563,-0.017626,0.007229,NA,NA,0.0932499618554658,NA,NA,NA,NA
"76","HGLB",-0.308355,15.65,9.86,NA,NA,11.78,10.66,NA,61058,70252.33,NA,"Highland Global Allocation Fund",0,-0.18634,-0.18634,-0.18634,-0.308355,-0.308355,-0.196456,-0.058664,0.022549,-0.031569,0.036779,NA,NA,-0.0373828990805545,NA,NA,NA,NA
"77","HFRO",-0.140774,15.83,12.02,NA,NA,13.54,13.34,NA,134514.5,147086.3,NA,"Highland Income Fund",0,-0.125161,-0.125161,-0.125161,-0.140774,0.045525,-0.008053,0.001478,0.050388,0.015187,0.005939,NA,NA,0.348555676303527,NA,NA,NA,NA
"78","HPR",-0.724752,5.55,0.9102,297301540,162,2.19,1.31,109467924.23,1008384.1,984565.13,0.4541,"HighPoint Resources Corp.",213886000,-0.909122,-0.898344,-0.326531,-0.724752,-0.467433,-0.395652,-0.147239,0.168067,0.299065,0.077519,"2019-10-30",3.06,2.17467060442368,NA,NA,NA,NA
"79","HIW",-0.075625,48.63,37.09,4602233880,442,43.89,43.72,102032469.008,777482,816488.5,1.2831,"Highwoods Properties, Inc.",103724000,1.111475,0.107889,-0.10821,-0.075625,0.168862,-0.033965,0.003165,0.030662,-0.01004,0.016961,"2019-10-22",34.58,0.58550110092183,1.875,NA,0.0422582826233942,"2019-08-09"
"80","HIL",-0.474336,4.4,2.11,166444740,2664,2.95,2.94,46032954.842,89678.8,88765.2,-0.2942,"Hill International, Inc.",56042000,-0.541593,-0.541593,-0.541593,-0.474336,-0.045016,-0.003356,0.104089,-0.023026,-0.01,0.038462,NA,-10.1,0.672799901256806,NA,NA,NA,NA
"81","HI",-0.401333,53.41,26.01,1969623810,6500,38.6,31.37,61507096.497,811456.2,717236.57,2.2463,"Hillenbrand, Inc.",62667000,0.476308,0.398192,0.08724,-0.401333,-0.17115,-0.274134,-0.181297,0.160207,0.012564,0.10242,"2019-11-11",13.99,1.07785028689823,0.8375,"2019-09-13",0.0266465160674515,"2019-09-13"
