symbol,companyName,exchange,industry,website,description,CEO,securityName,issueType,sector,employees,address,address2,state,city,zip,country,phone
ABMD,"ABIOMED, Inc.",NASDAQ,Medical Specialties,http://www.abiomed.com,"ABIOMED, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It distributes its products under the Impella brand. The company was founded in 1981 and is headquartered in Danvers, MA.",Michael R. Minogue,"ABIOMED, Inc.",cs,Health Technology,1371,22 Cherry Hill Drive,,MA,Danvers,01923,US,1.978.646.1400
ACAD,"ACADIA Pharmaceuticals, Inc.",NASDAQ,Biotechnology,http://www.acadia-pharm.com,"ACADIA Pharmaceuticals, Inc. operates as a biopharmaceutical company focused on the development and commercialization of medicines to address unmet medical needs in central nervous system, or CNS, disorders. It operates through development and commercialization of innovative medicines segment. The company was founded by Mark R. Brann on July 16, 1993 and is headquartered in San Diego, CA.",Stephen R. Davis,ACADIA Pharmaceuticals Inc.,cs,Health Technology,430,3611 Valley Centre Drive,,CA,San Diego,92130-3331,US,1.858.558.2871
ACGL,Arch Capital Group Ltd.,NASDAQ,Multi-Line Insurance,,"Arch Capital Group Ltd. provides property and casualty insurance and reinsurance lines. It operates through the following segments: Insurance, Reinsurance, Mortgage, Corporate (Non-Underwriting), and Other. The Insurance segment consists of insurance underwriting units which offer specialty product lines like construction and national accounts, excess and surplus casualty, lenders products, professional lines, and programs. The Reinsurance segment is comprised of reinsurance underwriting which offer specialty product lines such as casualty, marine and aviation, other specialty, property catastrophe, property excluding property catastrophe, and other. The Mortgage segment is the operations that includes U.S. and international mortgage insurance and reinsurance operations as well as GSE credit risk sharing transactions. The Corporate (Non-Underwriting) segment includes net investment income, other income, corporate expense, interest expense, net realized gains and losses, net impairment losses. The Other segment refers to Watford Re. which is a variable interest entity. The company was founded by Clements Robert in 1995 and is headquartered in Hamilton, Bermuda.",Marc Grandisson,Arch Capital Group Ltd.,cs,Finance,3642,Waterloo House,100 Pitts Bay Road Ground Floor,Hamilton,Pembroke,HM,BM,1.441.278.9250
ACHC,"Acadia Healthcare Co., Inc.",NASDAQ,Medical/Nursing Services,http://www.acadiahealthcare.com,"Acadia Healthcare Co., Inc. engages in the provision of behavioral healthcare services. It operates through the following segments: United States (U.S.) Facilities and the United Kingdom (U.K.) Facilities. The U.S. Facilities segment classified in the following categories: acute inpatient psychiatric facilities; specialty treatment facilities; residential treatment centers; and outpatient community-based services. The U.K. Facilities segment provides inpatient services through facilities, including mental health hospitals, clinics, care homes, schools, colleges, and children's homes. The company was founded in January 2005 and is headquartered in Franklin, TN.",Debra K. Osteen,"Acadia Healthcare Company, Inc.",cs,Health Services,42100,6100 Tower Circle,,TN,Franklin,37067,US,1.615.861.6000
ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,Biotechnology,http://www.achillion.com,"Achillion Pharmaceuticals, Inc. engages in the discovery and development of small molecule drug therapies for immune system disorders. It offers its propriety platform of potent and specific complement factor D inhibitors for AP-mediated diseases. The company was founded on August 17, 1998 and is headquartered in New Haven, CT.",Joseph Truitt,"Achillion Pharmaceuticals, Inc.",cs,Health Technology,56,VEVA Building 14,1777 Sentry Parkway West Suite 200,PA,Blue Bell,19422,US,1.215.709.3040
ACIW,"ACI Worldwide, Inc.",NASDAQ,Packaged Software,http://www.aciworldwide.com,"ACI Worldwide, Inc. engages in the development, marketing, installation, and support of software products and solutions primarily focused on facilitating real-time electronic payments. It operates through the following segments: ACI on Premise, ACI on Demand, and Corporate and Other. The ACI on Premise segment serves customers who manage their software on site. The ACI on Demand segment covers the needs of banks, financial intermediaries, merchants, and corporates who use payments to facilitate their core business. The Corporate and Other segment consists of the corporate overhead costs. The company was founded in 1975 and is headquartered in Naples, FL.",Philip G. Heasley,"ACI Worldwide, Inc.",cs,Technology Services,3807,3520 Kraft Road,,FL,Naples,34105,US,1.402.390.7600
ACLS,"Axcelis Technologies, Inc.",NASDAQ,Electronic Production Equipment,http://www.axcelis.com,"Axcelis Technologies, Inc. engages in the design, manufacture and service of dry strip, ion implantation and other processing equipment used in the fabrication of semiconductor chips. It provides service and support, including spare parts, equipment upgrades, maintenance services and customer training. The firms' products include Purion H, which is next generation single wafer high current implanter; Optima HDx, is designed to maximize beam current, minimize beam setup time and deliver productive process across the applications space; Purion XE, is next generation single wafer high energy implanter, it is the second tool in the expanding family of Purion ion implanters; Optima XEx, includes implant energies matched to meet the changing needs of today's advanced device manufacturing; Paradigm XE, offers implant energies matched to meet the changing needs of advanced logic and memory manufacturing and Purion M, is a low energy, medium current ion implanter for all channel engineering applications in the low dose and mid dose regimes. It also sells equipment and services through direct sales, distributors and manufacturing representatives. The company was founded in 1978 and is headquartered in Beverly, MA.",Mary G. Puma,"Axcelis Technologies, Inc.",cs,Electronic Technology,992,108 Cherry Hill Drive,,MA,Beverly,01915-1053,US,1.978.787.4000
ACNB,ACNB Corp.,NASDAQ,Regional Banks,http://www.acnb.com,"ACNB Corp. is a holding company, which engages in the provision of banking and wealth management services, through its subsidiary ACNB Bank. It operates through the Banking and Insurance segments. The Banking segment offers banking and related financial services. The Insurance segment relates to a range of property and casualty, life, and health insurance offered to both commercial and individual clients. The company was founded in 1982 and is headquartered in Gettysburg, PA.",James P. Helt,ACNB Corporation,cs,Finance,361,16 Lincoln Square,,PA,Gettysburg,17325-2205,US,1.717.334.3161
ACOR,"Acorda Therapeutics, Inc.",NASDAQ,Biotechnology,http://www.acorda.com,"Acorda Therapeutics, Inc. engages in the development of therapies that restore function and improve the lives of people with neurological disorders. Its two main products are Ampyra and Zanaflex Capsules. The Ampyra is an oral drug, which treats to improve walking in patients with multiple sclerosis and Zanaflex Capsules, which is a short acting drug for the management of spasticity, a symptom of many central nervous system disorders, including multiple sclerosis and spinal cord injury. The company was founded by Ronald Cohen in 1995 and is headquartered in Ardsley, NY.",Ronald Cohen,"Acorda Therapeutics, Inc.",cs,Health Technology,474,420 Saw Mill River Road,,NY,Ardsley,10502,US,1.914.347.4300
ACRX,"AcelRx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Other,http://www.acelrx.com,"AcelRx Pharmaceuticals, Inc. engages in the development and commercialization of therapies use in medically supervised settings. Its products include sufentanil, DZUVEO, DSUVIA ZALVISO US and ZALVISO EU. The company was founded by Thomas A. Schreck and Pamela Pierce Palmer on July 13, 2005 and is headquartered in Redwood City, CA.",Vincent J. Angotti,"AcelRx Pharmaceuticals, Inc.",cs,Health Technology,61,351 Galveston Drive,,CA,Redwood City,94063,US,1.650.216.3500
ACST,"Acasti Pharma, Inc.",NASDAQ,Pharmaceuticals: Other,http://www.acastipharma.com,"Acasti Pharma, Inc. engages in the development and commercialization of pharmaceutical applications of its licensed rights for cardiovascular diseases. It focuses on the research of prescription drugs using omega-3, fatty acids derived from krill oil. The company was founded by Henri Harland on February 1, 2002 and is headquartered in Laval, Canada.",Janelle D'Alvise,Acasti Pharma Inc. Class A,cs,Health Technology,-100000,545 Promenade du Centropolis,,QC,Laval,H7T,CA,1.450.686.4555
ACTG,Acacia Research Corp.,NASDAQ,Miscellaneous Commercial Services,http://www.acaciaresearch.com,"Acacia Research Corp. engages in the acquisition, development, and patents technologies through its subsidiaries. Its operating subsidiaries assist patent owners with the prosecution and development of their patent portfolios, the protection of their patented inventions from unauthorized use, the generation of licensing revenue from users of their patented technologies and, if necessary, with the enforcement against unauthorized users of their patented technologies. The company was founded by Robert Bruce Stewart on January 25, 1993 and is headquartered in Newport Beach, CA.",,Acacia Research Corporation,cs,Commercial Services,13,120 Newport Center Drive,,CA,Newport Beach,92660,US,1.949.480.8300
ACWI,iShares MSCI ACWI ETF,NASDAQ,Investment Trusts/Mutual Funds,,,,iShares MSCI ACWI ETF,et,Miscellaneous,-100000,400 Howard Street,,CA,San Francisco,94105,US,
ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ,Investment Trusts/Mutual Funds,,,,iShares MSCI ACWI ex U.S. ETF,et,Miscellaneous,-100000,,,,,,,
ADBE,"Adobe, Inc.",NASDAQ,Packaged Software,http://www.adobe.com,"Adobe, Inc. engages in the provision of digital marketing and media solutions. It operates through the following segments: Digital Media, Digital Experience, and Publishing. The Digital Media segment offers creative cloud services, which allow members to download and install the latest versions of products, such as Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Adobe Photoshop Light room and Adobe InDesign, as well as utilize other tools, such as Adobe Acrobat. The Digital Experience segment provides solutions, including analytics, social marketing, targeting, media optimization, digital experience management, and cross-channel campaign management, as well as premium video delivery and monetization. The Publishing segment includes legacy products and services for eLearning solutions, technical document publishing, web application development, and high-end printing. The company was founded by Charles M. Geschke and John E. Warnock in December 1982 and is headquartered in San Jose, CA.",Shantanu Narayen,Adobe Inc.,cs,Technology Services,21357,345 Park Avenue,,CA,San Jose,95110-2704,US,1.408.536.6000
ADES,"Advanced Emissions Solutions, Inc.",NASDAQ,Industrial Machinery,http://www.adaes.com,"Advanced Emissions Solutions, Inc. is a holding company, which engages in the provision of environmental and emission control equipment to power generation industry. It operates through the Refined Coal and Power Generation and Industrials segments. The Refined Coal segment includes Tinuum Group, Tinuum Services, and GWN Manager. The Power Generation and Industrials segment refers to the sale of Activated Carbon Injection and Dry Sorbent Injection equipment systems, chemical sales, consulting services, and other sales related to the reduction of emissions in the coal-fired electric generation process and the electric utility industry. The company was founded in 1996 and is headquartered in Highlands Ranch, CO.",L. Heath Sampson,"Advanced Emissions Solutions, Inc.",cs,Producer Manufacturing,128,640 Plaza Drive,,CO,Highlands Ranch,80129,US,1.720.598.3500
ADI,"Analog Devices, Inc.",NASDAQ,Semiconductors,http://www.analog.com,"Analog Devices, Inc. engages in the design, development, manufacture, and marketing of integrated circuits (ICs). Its products include industrial process control systems, medical imaging equipment, factory process automation systems, patient vital signs monitoring devices, instrumentation and measurement systems, wireless infrastructure equipment, energy management systems, networking equipment, aerospace and defense electronics, optical systems, automobiles, and portable consumer devices. The company was founded by Raymond P. Stata and Matthew Lorber in 1965 and is headquartered in Norwood, MA.",Vincent T. Roche,"Analog Devices, Inc.",cs,Electronic Technology,15800,One Technology Way,,MA,Norwood,02062-9106,US,1.781.329.4700
ADMA,"ADMA Biologics, Inc.",NASDAQ,Biotechnology,http://www.admabiologics.com,"ADMA Biologics, Inc. operates as a biopharmaceutical company. It develops, manufactures, and intends to commercialize in human plasma and plasma-derived therapeutics. The firm operates through the following business segments: ADMA BioManufacturing, Plasma Collection Center, and Corporate. The ADMA BioManufacturing segment comprises of the immune globulin manufacturing and development operations. The Plasma Collection Center consists of source plasma collection facilities. The Corporate segment includes general and administrative overhead expenses. The company was founded by Adam S. Grossman and Jerrold B. Grossman on June 2, 2006 and is headquartered in Hackensack, NJ.",Adam S. Grossman,"ADMA Biologics, Inc.",cs,Health Technology,318,465 State Route 17 South,,NJ,Ramsey,07446-2012,US,1.201.478.5552
ADMP,Adamis Pharmaceuticals Corp.,NASDAQ,Pharmaceuticals: Other,http://www.adamispharmaceuticals.com,"Adamis Pharmaceuticals Corp. is a biopharmaceutical company, which engages in the discovery, development and sales of pharmaceutical, specialty biopharmaceutical and other drug products. It offers Symjepi product for allergy, respiratory, opioid overdose, and erectile dysfunction (ED), markets. The company was founded in June 2006 and is headquartered in San Diego, CA.",Dennis J. Carlo,Adamis Pharmaceuticals Corporation,cs,Health Technology,152,11682 El Camino Real,,CA,San Diego,92130,US,1.858.997.2400
ADMS,"Adamas Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Other,http://www.adamaspharma.com,"Adamas Pharmaceuticals, Inc. engages in discovery and development of chrono-synchronous therapies for chronic neurologic disorders. Its products include GOCOVRI, ADS-5012, ADS-4101, and Namzaric. GOCOVRI is indicated for the treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy. ADS-5102 is a treatment for walking impairment in patients with multiple sclerosis. ADS-401 treats partial onset seizures in patients with epilepsy. Namzaric is a drug treatment for moderate to severe Alzheimer's disease. The company was founded by Gregory T. Went on November 15, 2000 and is headquartered in Emeryville, CA.",Gregory T. Went,"Adamas Pharmaceuticals, Inc.",cs,Health Technology,159,1900 Powell Street,,CA,Emeryville,94608,US,1.510.450.3500
ADP,"Automatic Data Processing, Inc.",NASDAQ,Data Processing Services,http://www.adp.com,"Automatic Data Processing, Inc. engages in the provision of business outsourcing solutions specializes in cloud-based human capital management. It operates through the following business segments: Employer Services; and Professional Employer Organization Services; and Other. The Employer Services segment provides clients ranging from single-employee small businesses to large enterprises with tens of thousands of employees around the world, offering a range of human resources outsourcing and technology-based human capital management solutions, including strategic, cloud-based platforms. The Professional Employer Organization Services segment offers small and mid-sized businesses a human resources outsourcing solution through a co-employment mode. The Other segment comprises of non-recurring gains and losses; miscellaneous processing services; the elimination of intercompany transactions; and interest expense. The company was founded by Henry Taub in 1949 and is headquartered in Roseland, NJ.",Carlos A. Rodriguez,"Automatic Data Processing, Inc.",cs,Technology Services,58000,1 ADP Boulevard,,NJ,Roseland,07068-1728,US,1.973.974.5000
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,NASDAQ,Investment Trusts/Mutual Funds,,,,Invesco BLDRS Asia 50 ADR Index Fund,et,Miscellaneous,-100000,,,,,,,
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,NASDAQ,Investment Trusts/Mutual Funds,,,,Invesco BLDRS Developed Markets 100 ADR Index Fund,et,Miscellaneous,-100000,,,,,,,
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,Investment Trusts/Mutual Funds,,,,Invesco BLDRS Emerging Markets 50 ADR Index Fund,et,Miscellaneous,-100000,,,,,,,
ADRU,Invesco BLDRS Europe Select ADR Index Fund,NASDAQ,Investment Trusts/Mutual Funds,,,,Invesco BLDRS Europe Select ADR Index Fund,et,Miscellaneous,-100000,,,,,,,
ADSK,"Autodesk, Inc.",NASDAQ,Packaged Software,http://www.autodesk.com,"Autodesk, Inc. engages in the design of software and services. Its products include Autodesk 360 cloud services, AutoCAD civil 3D and LT, 3Ds Max, Maya, and Revit. The firm also offers development and manufacturing software, which provides manufacturers in automotive, transportation, industrial machinery, consumer products, and building product industries with comprehensive digital design, engineering, and production solutions; and digital media and entertainment, which consists of tools for digital sculpting, modeling, animation, effects, rendering, and compositing for design visualization, visual effects, and games production. The company was founded by John Walker in April 1982 and is headquartered in San Rafael, CA.",Andrew Anagnost,"Autodesk, Inc.",cs,Technology Services,9600,111 McInnis Parkway,,CA,San Rafael,94903,US,1.415.507.5000
ADTN,"ADTRAN, Inc.",NASDAQ,Telecommunications Equipment,http://www.adtran.com,"ADTRAN, Inc. engages in the provision of networking and communications equipment. It operates through the Network Solutions and Services and Support business segment. The Network Solutions segment includes hardware products and next-generation virtualized solutions used in service provider or business networks, as well as prior-generation products. The Services and Support segment offers ProCloud managed services, network installation, engineering and maintenance services, and fee-based technical support and equipment repair/replacement plans. The company was founded by Mark C. Smith in November 1985 and is headquartered in Huntsville, AL.",Thomas R. Stanton,"ADTRAN, Inc.",cs,Electronic Technology,1900,901 Explorer Boulevard,,AL,Huntsville,35806-2807,US,1.256.963.8000
ADUS,Addus HomeCare Corp.,NASDAQ,Medical/Nursing Services,http://www.addus.com,"Addus HomeCare Corp. engages in the provision of in-home personal care services. It operates through the following segments: Personal Care, Hospice, and Home Health. The Personal Care segment provides non-medical assistance with activities of daily living, primarily to persons who are at risk of hospitalization or institutionalization, such as the elderly, chronically ill or disabled. The Hospice segment includes physical, emotional, and spiritual care for people who are terminally ill as well as for their families. The Home Health segment offers services that are primarily medical in nature to individuals who may require assistance during an illness or after surgery, and include skilled nursing and physical, occupational and speech therapy. The company was founded on July 27, 2006 and is headquartered in Frisco, TX.",R. Dirk Allison,Addus HomeCare Corporation,cs,Health Services,33153,6801 Gaylord Parkway,,TX,Frisco,75034,US,1.469.535.8200
ADXS,"Advaxis, Inc.",NASDAQ,Biotechnology,http://www.advaxis.com,"Advaxis, Inc. is a biotechnology company, which engages in the discovery, development and commercialization of cancer immunotherapies. It manages platform technology that utilizes live attenuated Listeria monocytogenes bioengineered to secrete antigen or adjuvant fusion proteins. It has four franchises in various stages of clinical and pre-clinical development, namely: HPV-associated cancers, prostate cancer, neoantigen therapy and hotspot mutation therapy. The company was founded on June 5, 1987 and is headquartered in Princeton, NJ.",Kenneth A. Berlin,"Advaxis, Inc.",cs,Health Technology,58,305 College Road East,,NJ,Princeton,08540,US,1.609.452.9813
AEGN,Aegion Corp.,NASDAQ,Engineering & Construction,http://www.aegion.com,"Aegion Corp. engages in the provision of infrastructure protection, maintenance, and rehabilitation. It operates through the following segments: Infrastructure Solutions, Corrosion Protection and Energy Services. The Infrastructure Solutions segment focuses on the municipal water and wastewater pipeline sector. The Corrosion Protection segment captures the benefits of continued oil and natural gas pipeline infrastructure developments. It also protects, maintain, rehabilitate, assess, and monitor pipelines from the effects of corrosion. The Energy Services segment gives value proposition based safety and labor productivity programs, which allow cost-effective construction, maintenance, turnaround, and specialty services. The company was founded in 1971 and is headquartered in Chesterfield, MO.",Charles R. Gordon,Aegion Corporation,cs,Industrial Services,5350,17988 Edison Avenue,,MO,Chesterfield,63005-1195,US,1.636.530.8000
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,http://www.aehr.com,"Aehr Test Systems engages in the design, manufacture, and marketing of test and burn-in products to the semiconductor manufacturing industry. Its products include wafer contact test systems, test during burn-in systems, test fixtures, and die carriers. The company was founded by Rhea J. Posedel on May 25, 1977 and is headquartered in Fremont, CA.",Gayn Erickson,Aehr Test Systems,cs,Electronic Technology,79,400 Kato Terrace,,CA,Fremont,94539,US,1.510.623.9400
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,Electronic Production Equipment,http://www.advanced-energy.com,"Advanced Energy Industries, Inc. engages in the provision of precision power conversion, measurement, and control solutions. Its products are used in complex semiconductor and thin film plasma processes such as dry etch, strip, chemical and physical deposition; high and low voltage applications such as process control, analytical instrumentation and medical equipment; and in temperature-critical thermal applications such as material and chemical processing. The company also supplies related instrumentation products for advanced temperature measurement and control; electrostatic instrumentation products for test and measurement applications; and gas sensing and monitoring solutions for multiple industrial markets. Advanced Energy Industries was founded by Douglas S. Schatz in 1981 and is headquartered in Fort Collins, CO.",Yuval Wasserman,"Advanced Energy Industries, Inc.",cs,Electronic Technology,2259,1625 Sharp Point Drive,,CO,Fort Collins,80525,US,1.970.221.0108
AERI,"Aerie Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Other,http://www.aeriepharma.com,"Aerie Pharmaceuticals, Inc. engages in the discovery, development, and commercialization of therapies for the treatment of patients with open-angle glaucoma, retinal diseases and other diseases of the eye. Its products include Rhopressa, Roclatan, AR-13503, and AR-1105. The company was founded by David L. Epstein, Casey C. Kopczynski, Thomas J. van Haarlem, and Eric J. Toone on June 22, 2005 and is headquartered in Durham, NC.",Vicente J. Anido,"Aerie Pharmaceuticals, Inc.",cs,Health Technology,353,4301 Emperor Boulevard,,NC,Durham,27703,US,1.919.237.5300
AEY,"ADDvantage Technologies Group, Inc.",NASDAQ,Wholesale Distributors,http://www.addvantagetechnologies.com,"ADDvantage Technologies Group, Inc. engages in the -provision of line of electronics and hardware for the cable television and telecommunications industries. It also offer repair services to cable operators. The company operates through two segments: Cable Television and Telecommunications. The Cable Television segment involves in the sales of new, surplus, and refurbished cable television equipment to cable television operators or other resellers. The Telecommunications segment gives telecommunication networking equipment. ADDvantage Technologies Group was founded in September 1989 and is headquartered in Broken Arrow, OK.",Joseph E. Hart,"ADDvantage Technologies Group, Inc.",cs,Distribution Services,141,1221 East Houston Street,,OK,Broken Arrow,74012,US,1.918.251.9121
AEZS,"Æterna Zentaris, Inc.",NASDAQ,Biotechnology,http://www.aezsinc.com,"Æterna Zentaris, Inc. operates as a specialty biopharmaceutical company that is engaged in developing and commercializing novel treatments in oncology, endocrinology and women's health. It operates through biopharmaceutical segment. AEterna Zentaris was founded on September 12, 1990 and is headquartered in Charleston, SC.",Michael V. Ward,Aeterna Zentaris Inc.,cs,Health Technology,20,315 Sigma Drive,Suite 302D Summerville,SC,Charleston,29486,US,1.843.900.3223
AFH,"Atlas Financial Holdings, Inc.",NASDAQ,Property/Casualty Insurance,http://www.atlas-fin.com,"Atlas Financial Holdings, Inc. engages in underwriting commercial automobile insurance policies through its subsidiaries. It focuses on the light commercial automobile sector, which includes taxi cabs, nonemergency para-transit, limousine, livery, and business auto. The company was founded on December 31, 2010 and is headquartered in Schaumburg, IL.",Scott D. Wollney,"Atlas Financial Holdings, Inc.",cs,Finance,-100000,953 American Lane,,IL,Schaumburg,60173,US,1.847.472.6700
AFMD,Affimed NV,NASDAQ,Biotechnology,http://www.affimed.com,"Affimed NV engages in discovering and developing of targeted cancer immunotherapies. Its pipelines include Innate Cell Engagers and T Cell Engagers. The company was founded in 2000 and is headquartered in Heidelberg, Germany.",Adolf Hoess,Affimed N.V.,cs,Health Technology,69,Technologiepark,,Baden,Heidelberg,Wuerttemberg,DE,49.6221.6743.60
