"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","nextEarningsDate","exDividendDate","peRatio","beta","ttmDividendRate","nextDividendDate","dividendYield"
"30","MS",-0.062876,50.37,36.74,74639093200,60348,42.89,42.5,1243491259.36,9674180.4,10724679.5,4.65,"Morgan Stanley",1652770000,0.196939,0.606397,0.109019,-0.052852,0.117822,0.025664,0.062338,0.130696,0.072175,0.047553,"2019-10-15","2019-07-30",9.71,1.20949668677137,1.2,NA,0.0265721877767936
"31","CAF",0.076355,24.58,17.52,478099850,NA,21.16,21.13,21880059.117,94763.3,105816.6,-1.2053,"Morgan Stanley China A Share Fund, Inc.",21881000,0.138121,0.063981,0.133838,0.076355,0.20187,-0.03532,0.081148,0.098542,0.042462,0.022461,NA,NA,-18.13,0.889766736614588,NA,NA,NA
"32","MSD",0.061856,9.59,8.03,NA,NA,9.03,9.4,NA,73091.8,67849.63,NA,"Morgan Stanley Emerging Markets Debt Fund, Inc.",0,0.108669,-0.115871,-0.062951,0.061856,0.119565,0.031146,-0.001078,0.006515,-0.029319,-0.007495,NA,NA,NA,0.201186268102136,NA,NA,NA
"33","EDD",0.01214,7.18,5.91,445716080,NA,6.65,6.82,62243682.568,164568.1,173435.97,-0.7697,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",66824000,-0.672319,-0.504898,-0.170455,0.01214,0.086319,-0.004478,-0.015498,0.006033,-0.036127,0.007553,NA,NA,-8.67,0.367715805651894,0.6,NA,0.0899550224887556
"34","IIF",-0.283821,25.99,17.56,NA,NA,20.15,18.89,NA,54708.2,92906.13,NA,"Morgan Stanley India Investment Fund, Inc.",0,1.205156,0.043721,-0.376367,-0.283821,-0.077348,-0.11256,-0.12315,0.023398,-0.037212,0.012121,NA,NA,NA,0.563018265328614,NA,NA,NA
"35","MOSC",0.054248,10.3,9.65,444187500,2,10.09,10.24,34500000,122211.1,225908.17,0.1362,"Mosaic Acquisition Corp.",34500000,0.036923,0.036923,0.036923,0.054248,0.04888,0.023857,0.009804,0.007828,0.005859,0.002921,NA,NA,75.62,0.00479279075029963,NA,NA,NA
"36","MOS",-0.264372,37.37,17.36,8739887550,12900,26.48,21.78,350795548.37,5213386.7,5962806.53,0.6684,"The Mosaic Co.",385867000,1.668427,-0.481641,0.073492,-0.291966,-0.223783,-0.209148,-0.027062,0.147416,-0.071341,0.122398,"2019-11-04","2019-09-04",33.89,1.21599754469503,0.125,NA,0.00551876379690949
"37","MSI",0.317766,182.28,108.25,27821514240,16000,146.89,172.46,165801834.432,1569009.6,1126024.47,6.2823,"Motorola Solutions, Inc.",166556000,1.434217,1.119154,0.702117,0.320579,0.455306,0.188897,0.019531,-0.036234,-0.017874,-0.02697,"2019-10-31","2019-09-12",26.59,0.915735278012984,2.23,NA,0.0133500957854406
"38","MOV",-0.410798,44.39,18.78,577298896,1140,30.57,24.78,15819986.336,324532.4,293127.57,2.842,"Movado Group, Inc.",16412000,2.813684,-0.066478,0.55828,-0.395909,-0.22267,-0.270561,-0.059925,0.097988,0.001197,0.03719,"2019-12-02","2019-09-09",8.83,0.810222648535472,0.66,NA,0.0262948207171315
"39","MPLX",-0.195176,36.53,25.85,23059980500,4500,31.77,29.14,287464144.1,1935828.2,2378044.7,2.3023,"MPLX LP",794350000,0.193015,-0.44473,-0.066187,-0.185466,-0.054705,-0.139852,-0.072228,0.071218,0.005542,0.007636,"2019-10-31","2019-08-02",12.61,0.903299251665174,2.57,NA,0.0885291078194971
"40","MRC",-0.319794,19.88,11.19,1099955430,3600,15.71,14.23,78065491.373,1285910,1028479.7,0.6038,"MRC Global, Inc.",83141000,-0.159221,-0.39542,-0.071391,-0.313084,0.035211,-0.242268,-0.154092,0.002273,-0.124421,0.020833,"2019-10-31",NA,21.91,1.48950623774844,NA,NA,NA
"41","HJV",-0.317297,8.95,5.28,NA,NA,6.52,5.96,NA,13004.9,11902.63,NA,"MS Structured SATURNS Series 2007-1",0,-0.732245,-0.609291,-0.586816,-0.317297,-0.078825,-0.172222,-0.022951,0.072811,-0.01512,0.054867,NA,NA,NA,0.737699048924798,NA,NA,NA
"42","MSA",0.069556,114.64,86.72,4376021380,4800,102.99,104.69,35234832.066,122225.8,120604.37,3.1561,"MSA Safety, Inc.",38719000,8.065193,1.181248,0.416019,0.061819,0.188308,0.098348,0.109889,0.107388,0.08091,0.043197,"2019-10-24","2019-08-19",35.81,1.06320627724973,1.56,NA,0.0138028667492479
"43","MSM",-0.173495,90.25,64.59,3986641353,6657,77.25,69.72,44307000.4,476718.4,451344,5.3162,"MSC Industrial Direct Co., Inc.",45008000,4.096296,-0.077645,-0.072985,-0.169885,-0.047858,-0.131136,0.026144,0.056311,0.060811,0.025852,"2019-10-24","2019-07-22",13.58,1.02094515018405,2.47,NA,0.034201052340072
"44","MSCI",0.260512,247.57,134.28,19450278360,3112,202.44,231.87,81966949.056,635239.8,579454.03,6.7419,"MSCI, Inc.",84699000,8.196235,4.449217,1.338153,0.290547,0.562815,0.202493,-0.012683,0.015073,0.042965,-0.033135,"2019-11-01","2019-08-15",34.06,1.31417755872695,2.32,NA,0.0101027695523428
"45","MSGN",-0.304312,28.13,13.72,1268399440,820,21.59,17.95,58981321.773,1107331,835313.57,2.4801,"MSG Networks, Inc.",61287000,0.021619,-0.543661,-0.048822,-0.304312,-0.301155,-0.276068,-0.181247,-0.012245,-0.090226,-0.009357,"2019-11-01",NA,6.83,0.696379823975941,NA,NA,NA
"46","MLI",0.014498,34.24,21.49,1665413740,5134,28.23,27.72,54810245.166,165235,196016.67,1.619,"Mueller Industries, Inc.",56666000,1.37801,0.045519,-0.048491,0.022973,0.241132,-0.091499,0.036319,0.096642,0.034131,0.079324,"2019-10-22","2019-09-05",18.15,1.1664884883962,0.4,NA,0.0136100714528751
"47","MWA",-0.045769,12.17,8.47,1738772750,2700,10,10.08,154882166.175,612303.6,818692.6,0.3077,"Mueller Water Products, Inc.",157355000,-0.360597,0.23815,-0.028131,-0.054748,0.206332,0.063523,0.109438,0.063523,0.109438,0.04147,"2019-11-04","2019-08-08",35.91,1.11962157099019,0.2,NA,0.0180995475113122
"48","MVF",0.033449,9.52,8.07,580930560,NA,8.99,9.35,64835740.656,129554.8,112581.17,0.2738,"BlackRock MuniVest Fund, Inc.",64836000,0.00222,-0.072895,-0.062305,0.033449,0.067938,0.010147,-0.014301,-0.055848,-0.050847,-0.042735,NA,"2019-10-01",32.72,-0.0328036594777052,0.4845,"2019-10-01",0.0540736607142857
"49","MZA",0.012611,14.9,11.89,63295050,NA,13.59,14.18,4636290.539,6374,5608.37,0.3263,"BlackRock MuniYield Arizona Fund, Inc.",4637000,-0.028955,-0.143302,-0.071999,0.013205,0.089155,0.004265,-0.013863,-0.054155,-0.039859,-0.032034,NA,"2019-10-01",41.83,0.0396096563890589,0.624,"2019-10-01",0.0457142857142857
"50","MUR",-0.33398,36.52,17.04,3342370600,1108,25.77,21.04,152981113.617,2530968,3235207.27,1.9196,"Murphy Oil Corp.",162251000,0.187611,-0.563043,-0.005597,-0.33484,-0.144163,-0.319008,-0.12191,0.085925,-0.098074,0,"2019-11-01","2019-08-16",10.73,1.09824454473623,1,NA,0.0485436893203883
"51","MUSA",0.095405,94.71,69.98,2896162300,9500,82.58,88.37,30012828.57,255610.9,359670.6,4.9826,"Murphy USA, Inc.",31970000,31.19403,0.919466,0.319872,0.104217,0.188066,0.113994,0.073087,-0.029462,0.062265,0.022345,"2019-11-04",NA,18.18,0.639672637972698,NA,NA,NA
"52","MVO",-0.316025,12.63,5.56,87860000,NA,7.76,7.54,8599907,20999.1,22770.17,1.365,"MV Oil Trust",11500000,-0.617792,-0.656489,0.357143,-0.316086,0.032432,-0.049751,0.007916,0.102469,0.007916,0.002625,NA,"2019-07-12",5.6,0.965459368594529,1.365,NA,0.178664921465969
"53","MVC",-0.038503,9.89,7.96,159347750,NA,9.07,9.22,15983802.35,29543.2,18420.1,0.6309,"MVC Capital, Inc.",17725000,0.117284,-0.304916,0.016854,-0.03953,0.076647,-0.033333,-0.034372,-0.017486,-0.033333,0.023918,"2020-01-20","2019-07-24",14.25,0.270100629174153,0.6,NA,0.0667408231368187
"54","MVCD",-0.000389,26.28,23.75,455709750,NA,25.62,25.84,NA,9226.6,6853.5,NA,"MVC Capital, Inc.",0,0.023847,0.023847,0.023847,-0.000389,0.030048,0,-0.013809,-0.001096,-0.007336,-0.001166,NA,NA,NA,0.0412951610553757,NA,NA,NA
"55","MYE",-0.250312,25.7,14.24,639956820,1800,17.14,16.8,35046243.19,118615.6,119817.1,-0.1564,"Myers Industries, Inc.",35494000,1.094036,-0.067214,0.07574,-0.258025,0.182295,-0.015292,-0.009885,0.156511,0.115028,0.076418,"2019-11-04","2019-08-30",-115.28,0.955858978835924,0.54,NA,0.0299500831946755
"56","MYOV",-0.740756,27.45,6.14,445461660,167,15.01,7.71,29016953.784,536776.3,316984.17,-3.9896,"Myovant Sciences Ltd.",72198000,0.397436,0.397436,0.520098,-0.739443,-0.635558,-0.7259,-0.341515,-0.118571,-0.105797,-0.110951,"2019-11-07",NA,-1.55,0.697298623865968,NA,NA,NA
"57","NBR",-0.621087,6.65,1.6,835953400,15000,2.86,2.21,333602106.048,10639999.2,11503428.37,-1.8185,"Nabors Industries Ltd.",363458000,-0.806792,-0.85449,-0.608163,-0.607509,0.050228,-0.350282,0.138614,0.179487,-0.122137,0.036036,"2019-10-22","2019-09-10",-1.26,1.78206539712802,0.14,NA,0.0608695652173913
"58","NC",0.624885,54.49,28.77,369689464,2400,43.23,51.09,3154062.483,8238.3,9670.83,6.221,"NACCO Industries, Inc.",5421000,0.074969,0.030545,-0.258866,0.642547,0.602727,0.392942,0.091416,0.062048,0.033815,0.045464,NA,"2019-08-29",8.5,0.623650111929769,0.685,NA,0.0129514085838533
"59","NTP",-0.118227,10.75,8.24,341827350,99,9.44,9.67,27351955.143,18175.5,24051.83,-0.394,"Nam Tai Property, Inc.",38193000,0.3,0.364539,0.225478,-0.118227,0.020525,-0.095046,-0.05291,-0.027174,-0.135266,-0.00223,NA,"2018-09-28",-22.72,0.310986589774253,NA,NA,NA
"60","NBHC",-0.036728,38.92,29.26,1151520220,1332,34.59,34.36,30103783.945,174386.6,128505.83,2.41,"National Bank Holdings Corp.",31139000,0.980102,1.045862,0.213951,-0.022985,0.199481,0.055064,0.015655,0.107186,0.08097,0.047592,"2019-10-21","2019-08-29",15.34,0.8670107607673,0.67,NA,0.0181179015684154
"61","NFG",-0.141624,61.71,45.47,4206129950,2105,54.74,48.44,84149701.91,563278.5,650428.37,3.4239,"National Fuel Gas Co.",86315000,1.61267,-0.22455,0.025213,-0.140413,-0.042068,-0.199704,-0.101088,0.035927,-0.002661,0.010786,"2019-10-31","2019-09-27",14.23,0.46748637569389,1.71,"2019-09-27",0.0350913195156988
"62","NGG",-0.018882,59.01,46.36,NA,22576,53.08,51.95,695931202.748,474572.4,455026.17,2.9009,"National Grid Plc",NA,0.399165,-0.309051,-0.254273,-0.018882,0.055179,-0.111111,-0.021309,0.02104,-0.008863,0.017808,NA,"2017-05-17",17.73,0.109005888225803,3.0572,NA,0.0594323483670295
"63","NHI",0.056322,84.75,70.54,3553867560,NA,79.15,81.16,41673823.49,207588.7,190663.63,3.6048,"National Health Investors, Inc.",43361000,3.964752,0.220671,0.054485,0.056594,0.10682,0.0505,0.020164,-0.010503,0.024372,-0.016323,"2019-11-11","2019-09-27",22.74,0.334167294373878,4.1,"2019-09-27",0.050024402147389
"64","NOV",-0.485102,46.64,18.05,8802287760,35063,25.12,21.06,384566202.384,5130023.2,4442611.07,-14.2774,"National Oilwell Varco, Inc.",385896000,1.282416,-0.681458,-0.245006,-0.482884,-0.117943,-0.188834,0.121436,0.223712,0.032594,-0.047997,"2019-10-28","2019-09-12",-1.6,1.2433857042137,0.2,NA,0.00876808417360807
"65","NPK",-0.248349,133.95,82.38,668791950,949,105.47,90.19,4923752.52,69995.8,71261.4,4.9871,"National Presto Industries, Inc.",6995000,3.110606,0.570478,0.03599,-0.24419,-0.174637,-0.115787,0.056347,0.118246,0.044918,0.073787,NA,"2019-02-28",19.17,0.707983704769257,6,NA,0.0627549419516787
"66","NNN",0.167474,57.8,42.97,9105342850,68,52.66,54.2,170292052.468,1757453.9,1135083.77,1.4256,"National Retail Properties, Inc.",171637000,2.468085,0.528994,0.364882,0.17134,0.121802,0.008555,-0.04311,-0.033345,-0.002257,-0.045348,"2019-10-31","2019-07-30",37.21,0.313487066379886,2,NA,0.0377002827521206
"67","NRUC",0.082536,28.37,24.96,NA,NA,26.66,27.32,NA,23244.1,17165.2,NA,"National Rural Utilities Cooperative Finance Corp.",0,NA,NA,NA,0.082863,0.082863,0.082863,0.039349,-0.000802,-0.013147,-0.027285,NA,NA,NA,-0.0104399423373077,NA,NA,NA
"68","SID",0.72549,4.71,1.93,NA,35266,3.52,3.87,1380106359.6685,3298527.5,4482122.23,0.7813,"Companhia Siderurgica Nacional",NA,3.435788,-0.136919,0.58296,0.72549,0.44856,-0.126551,-0.167849,0.008596,-0.122195,0.002849,"2019-10-30",NA,4.51,1.57025511015984,NA,NA,NA
"69","NSA",0.196648,34.8,24.44,2944257290,1561,29.16,31.45,58852643.808,372208.4,358554.53,-0.238,"National Storage Affiliates Trust",59296000,1.306923,1.306923,0.264334,0.19,0.270965,0.161605,0.07243,-0.009251,0.054134,-0.034845,"2019-11-11","2019-09-12",-135,0.359484998981687,1.21,NA,0.0376595082477435
"70","NGS",-0.384687,21.92,10.22,175390020,273,16.33,13.64,12330764.934,97926.5,88307.73,0.0675,"Natural Gas Services Group, Inc.",13227000,3.328125,-0.454187,-0.37283,-0.376,-0.25127,-0.264967,-0.146718,0.17762,-0.121854,0.061649,"2019-11-07",NA,196.44,0.867935746178101,NA,NA,NA
"71","NGVC",-0.32497,24.5,8.5,253730200,3598,12.55,9.76,8961458.762,52804.2,82071.13,0.4526,"Natural Grocers by Vitamin Cottage, Inc.",22454000,-0.262598,-0.418029,0.338415,-0.309291,-0.279796,-0.120623,0.055089,0.202128,-0.049622,0.127745,"2019-11-04",NA,24.97,0.6916905729061,NA,NA,NA
"72","NRP",-0.10462,44.71,25.45,332640930,57,37.07,29.55,9022967.988,14532.4,14346.17,8.2419,"Natural Resource Partners LP",12261000,-0.63765,-0.726183,0.255572,-0.116287,-0.299329,-0.357718,-0.286053,-0.013455,-0.032799,-0.008406,"2019-11-04","2019-08-06",3.29,0.160787704798587,1.8,NA,0.0663472171028382
"73","NTZ",-0.826582,8.05,1.11,NA,4853,3.77,1.72,NA,134890.8,65003.47,2.158,"Natuzzi SpA",NA,-0.895062,-0.719472,-0.726688,-0.826582,-0.677647,-0.733981,-0.527586,-0.007246,-0.154321,-0.068027,NA,NA,0.63,0.278830805054102,NA,NA,NA
"74","NLS",-0.889199,14.6,1.21,47267520,460,5.37,1.57,28741208.768,998326.8,623009,-2.7418,"Nautilus, Inc.",29728000,-0.640816,-0.52,-0.720635,-0.888421,-0.857909,-0.744373,-0.342975,0.292683,0.089041,0.096552,"2019-11-04",NA,-0.58,0.522881688282875,NA,NA,NA
"75","NCI",0.167923,28.21,18.85,1068019660,5952,23.74,26.26,37209437.332,307137.9,665589.13,-0.0056,"Navigant Consulting, Inc.",38294000,3.089631,0.407743,0.103367,0.188326,0.171357,0.384119,0.209978,0.000718,-0.006058,0.001796,"2019-10-31","2019-08-29",-4980.36,0.737666219673694,0.2,NA,0.00717102904266762
"76","NVGS",-0.185892,12.73,8.7,547711920,76,10.27,9.83,31594156.328,66253.6,77978.13,-0.2559,"Navigator Holdings Ltd.",55832000,0.145316,-0.573369,0.005333,-0.1825,0.006154,-0.118598,0.020812,0.061688,-0.030632,0.009259,"2019-11-11",NA,-38.34,0.789356626109931,NA,NA,NA
"77","NNA",-0.191441,9.3,2.9,1025928660,NA,6.32,6.31,77299152.147,41970.7,51107.53,-5.0414,"Navios Maritime Acquisition Corp.",142887000,-0.947766,-0.865345,-0.718738,-0.200223,0.904509,0.180921,0.123631,0.372849,0.161812,0.046647,"2019-11-18","2019-09-24",-1.42,1.10606574767786,1.2,"2019-09-24",0.167130919220056
"78","NM",-0.415049,8.33,1.69,63305880,656,3.66,5.4,9388747.962,134230.2,130714.03,-16.3574,"Navios Maritime Holdings, Inc.",13134000,-0.787727,-0.941405,-0.711728,-0.405672,0.507192,1.273585,0.331492,0.092971,0.088036,-0.022312,"2019-11-18","2015-09-16",-0.29,0.608979250870908,NA,NA,NA
"79","NMM",-0.282397,27.75,11.43,210453440,NA,15.04,16.52,8566048.144,90483.3,77681.37,-0.455,"Navios Maritime Partners LP",10984000,-0.948935,-0.946048,-0.435057,-0.248627,0.303401,0.392644,0.612795,0.235332,0.178352,0.070391,"2019-11-12","2019-08-05",-42.11,1.08075065040132,1.2,NA,0.0626304801670146
"80","NAV",-0.278212,43.12,21.32,2931537300,14000,31.28,28.01,81864394.376,989266.9,605037.03,3.0936,"Navistar International Corp.",99206000,0.35,-0.02372,0.267368,-0.278564,0.09323,-0.095777,-0.123145,0.234336,0.017913,0.02533,"2019-12-19",NA,9.55,1.72927117875993,NA,NA,NA
"81","NCR",0.156152,35.08,20.93,3993668000,34000,28.91,31.34,118641437.6,971135.9,898769.8,0.9377,"NCR Corp.",120400000,2.100817,-0.053874,-0.339447,0.170844,0.393112,0.15817,0.067589,0.087185,0.0079,0.005456,"2019-10-23",NA,35.37,1.54142937668198,NA,NA,NA
