"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","DateMadePublic","OrigCompany","City","State","BreachType","OrgType","TotalRecords","BreachYear","Latitude","Longitude","MatchedCompanyName","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"11","TWOU","2U, Inc.",879,"$1.13B","2014","Technology","Computer Software: Prepackaged Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2158592.34,8155542,10333778.28,16240289.92,31236264
"12","QFIN","360 Finance, Inc.",2658,"$1.43B","2018","Finance","Finance: Consumer Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","JOBS","51job, Inc.",2464,"$4.77B","2004","Technology","Diversified Commercial Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595173.6,2393448.62,999673.4,302147,211109.08,1300705.875,5469562.42,2712466.735,2638575.675,4157262.555,3863757,2191838.005,5442381.44,11463477.2
"14","JFK","8i Enterprises Acquisition Corp",2658,"$73.98M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","JFKKU","8i Enterprises Acquisition Corp",427,"$53.15M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","JFKKW","8i Enterprises Acquisition Corp",71,"$1.62M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","EGHT","8x8 Inc",1282,"$2.41B","n/a","Technology","EDP Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982276.36,741110.4,504798.33,145106.22,91505.56,354727.45,2385339.24,2660968.56,5158244.135,6699690.56,4734468,6698171.18,8768790,13295700
"18","JFU","9F Inc.",445,"$2.11B","2019","Finance","Finance: Consumer Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AAON","AAON, Inc.",2046,"$2.5B","n/a","Capital Goods","Industrial Machinery/Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279795.2094,514029.3552,1277975.4624,1942900.548,1480614.1462,1158328.70175,1200180.4367,968917.9902,2025434.6915,3145738.2775,2805473.594,3008197.7655,4293119.012,6581300
"20","ABEO","Abeona Therapeutics Inc.",315,"$75.95M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21498.5,502291.685,256346.3,3186584.55,13399980
"21","ABIL","Ability Inc.",165,"$5.31M","2014","Capital Goods","Telecommunications Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429766.9171,90961,48434.05,51004
"22","ABMD","ABIOMED, Inc.",988,"$8.76B","n/a","Health Care","Medical/Dental Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762801.32,1330284.14,2294183.95,3789918.8,2161875.05,1748849.44,2865574.52,9686104.26,7589152.94,7429486.42,37166099.825,38827799.7,41751457.02,107099460
"23","AXAS","Abraxas Petroleum Corporation",131,"$87.92M","n/a","Energy","Oil & Gas Production",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297320,1353744,645624,737085,260730.53,1097185.77,6174358.75,2463440.84,1459560.215,10496215.21,2776255,1065715.015,2498913.76,2159136
"24","ACIU","AC Immune SA",2089,"$352.68M","2016","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979016.8,416840.52,NA
"25","ACIA","Acacia Communications, Inc.",2346,"$2.59B","2016","Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79625019.72,35421775.65,16180772
"26","ACTG","Acacia Research Corporation",1055,"$130.85M","n/a","Miscellaneous","Multi-Sector Companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288573.0861,1771718.036,2978810.589,607686.5382,816727.43655,3263263.149,14117191.968,13172178.2345,10880663.384,6940607.484,4330335.6302,2018822.12,1192673.05,836945
"27","ACHC","Acadia Healthcare Company, Inc.",1409,"$2.34B","n/a","Health Care","Medical Specialities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154888.4,2061342.36,8321387.075,16141128.975,34774509,37354680.74,43084620,39370511
"28","ACAD","ACADIA Pharmaceuticals Inc.",1466,"$4B","1985","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283423,1921638.6,3894243.71,1050359.14,475348.96,357749.41,377837.26,855148.455,31952500.72,28817087.1,44067400.5,53959826.25,44550531.18,48018690
"29","ACAM","Acamar Partners Acquisition Corp.",2649,"$375.86M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ACST","Acasti Pharma, Inc.",350,"$154.62M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52459,198640.1,27354,9824.7,36378.19,205536
"31","AXDX","Accelerate Diagnostics, Inc.",922,"$1.03B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14030,9850,9660,12150,5732.7,4927.85,118739.31,40120,498500.1,2735957.62,2851026.22,4154269.86,6656101.2,5937120
"32","XLRN","Acceleron Pharma Inc.",2004,"$2.37B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332415.59,7867859.065,6698788,8792539.92,9637290,12154861
"33","ARAY","Accuray Incorporated",1061,"$235.9M","2007","Health Care","Medical/Dental Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8082252.8,4820446.13,1513868.415,1736270.285,3327936.15,2931489.9,4921554.54,5811068.79,6285513.6675,2719406.04,2831107.75,3263955
"34","ACRX","AcelRx Pharmaceuticals, Inc.",1029,"$185.08M","2011","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21765.5,41860,3404172.01,5001438.44,1960096.9,777845.9,929630,597660
"35","ACER","Acer Therapeutics Inc.",1064,"$27.26M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8516.665,23800,22298.385,13440.0645,46947.1,134594.7,108532.6,38918.4,476091.25,238085.467,195379.966,132479.445,118074,418068
"36","ACHV","Achieve Life Sciences, Inc. ",361,"$16.11M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392099.4,597168,634660.29,39844.53,1686679.28,811566.91,403287.06,523450.62,579487.26,767078.51,586816.01,117782.61,66680.6063,108376
"37","ACHN","Achillion Pharmaceuticals, Inc.",1884,"$607.66M","2006","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174826.435,127623.18,33574.4,30559.8,290610.1,3451404.84,7112713.665,6863766.785,19653334.425,23416834.075,9908843.36,4917198.99,5591781
"38","ACIW","ACI Worldwide, Inc.",1534,"$3.48B","n/a","Technology","Computer Software: Prepackaged Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5403779.4303,9634781.742,13232217.909,5693107.2,3093298.2,2712598.3578,5868030,9973404.9465,11371067.784,12105182.73,10589285.28,7465771.42,9053936.46,14067030
"39","ACRS","Aclaris Therapeutics, Inc.",248,"$41.78M","2015","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199183.535,943935.785,6321272.57,5739255
"40","ACMR","ACM Research, Inc.",693,"$230.84M","2017","Technology","Industrial Machinery/Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136042,243175
"41","ACNB","ACNB Corporation",1719,"$238.11M","n/a","Finance","Major Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29005.39,30712.22,27483.2125,24497.236,14923.70715,19094.328,23662.98,29843.718,40592.286,47865.2875,36399.112,123532.992,175980.85,142645
"42","ACOR","Acorda Therapeutics, Inc.",1560,"$155.39M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","November 24, 2009","ACORN","San Diego","California","Unintended Disclosure","Business Other",0,2009,32.715329,-117.157255,"Acorda Therapeutics, Inc.",NA,156104.04,5028982.2,13025539.74,9478706.34,15945831.165,11937942.68,7773369.745,10723452.87,14912614.9,18359613.18,11926894.85,12964209.4,12325210
"43","ACTT","Act II Global Acquisition Corp.",2651,"$370.5M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ACTTW","Act II Global Acquisition Corp.",238,"$20.66M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ATVI","Activision Blizzard, Inc",2144,"$38.81B","n/a","Technology","Computer Software: Prepackaged Software",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42186425.838,62372898.4403,94184051.448,127576593.6,149884986.874,126197534.542,94722425.119,92421905.808,96937099.8055,128382904.712,168107836.3515,264232905.19,322816288.035,432183636
"46","ADMS","Adamas Pharmaceuticals, Inc.",2281,"$175.24M","2014","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814176.39,1702667,3194736.42,3366379.6,23077538
"47","ADMP","Adamis Pharmaceuticals Corporation",236,"$57.69M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58465.21,12882.175,1383.205,487.56,7477.28,18880.03,10811.15,38037.245,34924.46,380342.03,202522,554548.86,2163590,2144880
"48","ADAP","Adaptimmune Therapeutics plc",321,"$169.25M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2412467.55,972128.545,1143271.8,3433877
"49","ADPT","Adaptive Biotechnologies Corporation",2150,"$7.1B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ADUS","Addus HomeCare Corporation",2596,"$1.16B","2009","Health Care","Medical/Nursing Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401141,115195.5,89492.16,62766.6,2394596.61,1203667.19,1620755,980352.13,1067447.55,983730
"51","AEY","ADDvantage Technologies Group, Inc.",340,"$18.65M","n/a","Consumer Services","Office Equipment/Supplies/Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21985,153272,282436.2,43965.16,7461.58,25605.63,24494.44,17854.45,24156.97945,72648.2,15319.2,13453.64,18288,14080
"52","IOTS","Adesto Technologies Corporation",383,"$306.72M","2015","Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384463,88757.055,445901.08,624805
"53","ADIL","Adial Pharmaceuticals, Inc",326,"$16.9M","2018","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ADMA","ADMA Biologics Inc",1892,"$265.74M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92656.455,88920,152115.76,109228.34,298680
"55","ADBE","Adobe Inc.",1506,"$138.11B","1986","Technology","Computer Software: Prepackaged Software","November 14, 2012","Adobe","San Jose","California","Hacking","Business Other",230,2012,37.339386,-121.894956,"Adobe Inc.",159102814.58,173352983.18,253346297.8,254037922.39,191591218.365,220277557.15,167792830.8,117712812.115,142878091.38,199485352.76,187501426.02,198128695.355,277962772.49,550635813
"56","ADBE","Adobe Inc.",1506,"$138.11B","1986","Technology","Computer Software: Prepackaged Software","September 25, 2017","Adobe","San Jose","California","Unintended Disclosure","Business Other",0,2017,37.338208,-121.886329,"Adobe Inc.",159102814.58,173352983.18,253346297.8,254037922.39,191591218.365,220277557.15,167792830.8,117712812.115,142878091.38,199485352.76,187501426.02,198128695.355,277962772.49,550635813
"57","ADTN","ADTRAN, Inc.",390,"$491M","1994","Public Utilities","Telecommunications Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22125063.076,24107110.764,20090251.638,16870455.591,15909708.313,25415948.5525,31483537.488,25651671.1355,14637953.409,11455892.804,8531416.4705,5925298.1515,5836437.5,8687865
"58","ADRO","Aduro Biotech, Inc.",274,"$98.57M","2015","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7113509.5,4140065.325,3637211.2,3979605
"59","ADES","Advanced Emissions Solutions, Inc.",593,"$234.45M","n/a","Basic Industries","Major Chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301599.816,976815.04,1408571.2
"60","AEIS","Advanced Energy Industries, Inc.",2164,"$1.98B","1995","Capital Goods","Industrial Machinery/Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4185798.54,6238899.82,10341964.2,5193415.87,2559755.475,6507277.98,5232406.24,3545559.51,6189865.025,8391861.59,7319352.58,9368544.76,26611065,31109562
"61","AMD","Advanced Micro Devices, Inc.",1653,"$34.14B","n/a","Technology","Semiconductors","January 13, 2013","Advanced Micro Devices (AMD), Nvidia","Sunnyvale","California","Insider","Online Retailer",0,2013,37.36883,-122.03635,"Advanced Micro Devices, Inc.",169790017,453810642,326697089.3,122368764.16,83190598.84,186187334.145,138012234.32,84431714.94,64039679.87,66246309.755,23350045,125788506.71,670000693.6,636002901
"62","AMD","Advanced Micro Devices, Inc.",1653,"$34.14B","n/a","Technology","Semiconductors","April 9, 2012","Intel, Advanced Micro Devices (AMD)","Hudson","Massachusetts","Insider","Online Retailer",0,2013,42.391736,-71.566139,"Advanced Micro Devices, Inc.",169790017,453810642,326697089.3,122368764.16,83190598.84,186187334.145,138012234.32,84431714.94,64039679.87,66246309.755,23350045,125788506.71,670000693.6,636002901
"63","ADXS","Advaxis, Inc.",90,"$6.35M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,112.5,95,32.5,292.5,585,487.5,492.5,6448.75,523241.7475,14798828.6,5943273.135,3632058.84,2214280
"64","ADVM","Adverum Biotechnologies, Inc.",397,"$665.86M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3266671.8,7618414.125,814977.195,563944.875,7374974.625
"65","DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF",1177,"$2.21M","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","DWSH","AdvisorShares Dorsey Wright Short ETF",1491,"$30.55M","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BKCH","AdvisorShares Sabretooth ETF",1425,"$2.68M","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ACT","AdvisorShares Vice ETF",1265,"$13.21M","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","AEGN","Aegion Corp",971,"$609.86M","n/a","Basic Industries","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3848044.2,3257607.925,4463384.24,5708166.53,3509437.5,2805983.585,3903977.28,2607176
"70","AGLE","Aeglea BioTherapeutics, Inc.",2438,"$225.45M","2016","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153344.24,206427.1588,603720
"71","AEHR","Aehr Test Systems",291,"$30.23M","1997","Capital Goods","Electrical Products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11264.85,150363.35,53080.51,275566.5,31053.88,33621.455,13260,6789.3,15709.625,31242.33,20520,27179.54,284088.48,271032
"72","AMTX","Aemetis, Inc",205,"$16.25M","n/a","Basic Industries","Major Chemicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10430,2799.15,2967.05,4093.5,11900,15963.75,299780.875,78485.5,30675.755,23794.35,33605
"73","AERI","Aerie Pharmaceuticals, Inc.",1157,"$995.04M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109043.8,2998329.12,8935595,6774386.585,19312365.5,16023040
"74","AVAV","AeroVironment, Inc.",2162,"$1.23B","2007","Capital Goods","Aerospace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449432.31,5003246.43,5439292.74,5006924.3,5276977.28,4656650.62,4004341.39,7650672.3,3371489,2855265.08,6739328,12598150
"75","ARPO","Aerpio Pharmaceuticals, Inc.",191,"$29.63M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","AEZS","AEterna Zentaris Inc.",1020,"$36.83M","n/a","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78228,93600,118422,20412,130704,1161147,2739264,808881,493830,904028.5,1154435.94,518698.375,490415,266880
"77","AEMD","Aethlon Medical, Inc.",74,"$5.78M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335240,91390.7,100727.4762,449391
"78","GNMX","Aevi Genomic Medicine, Inc.",45,"$11.81M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23406,204615,187138.585,274253.43,896068.53,523587.6,449420,272650
"79","AFMD","Affimed N.V.",1069,"$173.58M","2014","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219552.5,1660104,421823.17,478061.25,929856
"80","AFYA","Afya Limited",1165,"$1.92B","2019","Consumer Services","Other Consumer Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AGBA","AGBA Acquisition Limited",363,"$59.75M","2019","Finance","Business Services","August 14, 2014","AB Acquisition LLC","Boise","Idaho","Hacking","Healthcare",0,2014,39.185008,-77.310596,"AGBA Acquisition Limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","AGBAU","AGBA Acquisition Limited",375,"$60.41M","2019","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","AGEN","Agenus Inc.",1075,"$395.46M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413622.8,482201.94,458464.32,237738.24,664440.06,313439.58,191004,479888.6,608040.34,1435105.43,6708935,4535738.35,3529183.29,6702872
"84","AGRX","Agile Therapeutics, Inc.",261,"$65.23M","2014","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214369.25,422181.5,255230.47,642172.71,433929
"85","AGYS","Agilysys, Inc.",1449,"$645.15M","n/a","Technology","EDP Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2874368.42,2345057.92,6005828.4,1872911.1,560899.855,954827.755,871410.96,428071.02,372948.5,516260.275,288239.325,212433.245,385223.4,376048
"86","AGIO","Agios Pharmaceuticals, Inc.",1821,"$2.23B","2013","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3060575.57,15632248.9,51599454.99,26668918.12,22845910.64,33255900
"87","AGMH","AGM Group Holdings Inc.",864,"$372.6M","2018","Technology","EDP Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","AGNC","AGNC Investment Corp.",721,"$8.15B","2008","Consumer Services","Real Estate Investment Trusts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3576591.0906,6308557.367,22796992.485,108277935.396,165501555.5345,146455816.066,86383609.2795,62253737.769,55072645.107,70889458.146,68865605
"89","AGNCB","AGNC Investment Corp.",1343,"$8.84B","n/a","Consumer Services","Real Estate Investment Trusts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834259.838,421655.5605,350513.5545,241096.887,305235
"90","AGNCN","AGNC Investment Corp.",1403,"$342680","n/a","Consumer Services","Real Estate Investment Trusts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2623670,1044232
"91","AGFS","AgroFresh Solutions, Inc.",322,"$83.34M","2014","Finance","Business Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28950,1206822,534197.025,716693.6,943293
"92","ALRN","Aileron Therapeutics, Inc.",190,"$20.3M","2017","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320949.855,171487
"93","AIMT","Aimmune Therapeutics, Inc.",1101,"$1.28B","2015","Health Care","Major Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3334329,2085607.725,5892716.72,21196150
"94","AIRT","Air T, Inc.",875,"$53.79M","n/a","Transportation","Air Freight/Delivery Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479830.308,200008.161,109226.4667,128211.5018,56254.1484,82274.4075,33872.3589,23780.3826,29936.294,69580.8765,83599,34428.8,15905.7,NA
